,no2poly_m3_h,fe_m3_h,ts_mg_L,no2con_hz,no2conp_hz,feed_m3_h,dehydro_hz,screw_mm,no1poly_m3_h,con_pre_mpa
139,0.025,18.899999999999984,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
140,0.025,18.999999999999986,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
141,0.025,19.099999999999987,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
142,0.025,19.199999999999985,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
143,0.025,19.299999999999983,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
144,0.025,19.399999999999984,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
145,0.025,19.499999999999986,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
146,0.025,19.599999999999984,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
147,0.025,19.69999999999998,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
148,0.025,19.799999999999983,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
149,0.025,19.899999999999984,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
150,0.025,19.999999999999982,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
151,0.025,20.09999999999998,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
152,0.025,20.19999999999998,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
153,0.025,20.299999999999983,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
154,0.025,20.39999999999998,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
155,0.025,20.49999999999998,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
156,0.025,20.59999999999998,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
157,0.025,20.69999999999998,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
158,0.025,20.79999999999998,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
159,0.025,20.899999999999977,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
160,0.025,20.99999999999998,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
161,0.025,21.09999999999998,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
162,0.025,21.199999999999978,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
163,0.025,21.299999999999976,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
164,0.025,21.399999999999977,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
165,0.025,21.49999999999998,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
166,0.025,21.599999999999977,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
167,0.025,21.699999999999974,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
168,0.025,21.799999999999976,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
169,0.025,21.899999999999977,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
170,0.025,21.999999999999975,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
171,0.025,22.099999999999973,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
172,0.025,22.199999999999974,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
173,0.025,22.299999999999976,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
174,0.025,22.399999999999974,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
175,0.025,22.49999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
176,0.025,22.599999999999973,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
177,0.025,22.699999999999974,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
178,0.025,22.799999999999972,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
179,0.025,22.89999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
180,0.025,22.99999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
181,0.025,23.099999999999973,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
182,0.025,23.19999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
183,0.025,23.29999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
184,0.025,23.39999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
185,0.025,23.49999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
186,0.025,23.59999999999997,30000,30.6,56.1,5.3,38.5,200.0,1.3,0.34
